sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,2,32768,gpu,0,e94e96e9f6670eea1ef1d979f6542f109074a2ee66a05392eaee348d7f6d7070,1.2204928510000173,0.8413790209997387,"[0.0007630969998899673, 0.000786704999882204, 0.0007791029997861187, 0.0007771020000291173, 0.0008007820001694199, 0.0007782920001773164, 0.0008008009999684873, 0.0008065510000960785, 0.0008134009999594127, 0.0007853199999772187]",0.0007860124999297113,0.000778494750079517,0.0008007962500187205
sobol,normal,2,32768,cpu,1,e94e96e9f6670eea1ef1d979f6542f109074a2ee66a05392eaee348d7f6d7070,1.2204928510000173,0.27762824100000216,"[0.017297975000019505, 0.018194757000401296, 0.01826986099968053, 0.017439964999994118, 0.017632940999646962, 0.018070224999974016, 0.017956486999992194, 0.018214994000118168, 0.020990376999634464, 0.018045905999770184]",0.0180580654998721,0.01771382749973327,0.01820993475018895
sobol,normal,5,128,cpu,0,59ca693689048a88fc3fbe4375f15c596c09c8e0f74b50802a2a8f74dc19e121,1.8636292870000943,0.23089567799979704,"[0.00011276899977019639, 0.00013436300014291191, 9.351900007459335e-05, 8.495700012645102e-05, 8.523899987267214e-05, 8.677499999976135e-05, 8.353200018973439e-05, 8.396500015805941e-05, 8.402899993598112e-05, 8.59140000102343e-05]",8.557649994145322e-05,8.42609999835986e-05,9.183300005588535e-05
sobol,normal,5,128,gpu,1,59ca693689048a88fc3fbe4375f15c596c09c8e0f74b50802a2a8f74dc19e121,1.8636292870000943,0.4727108579995729,"[0.0003854400001728209, 0.0003917989997717086, 0.0003728780002347776, 0.0003610459998526494, 0.000377637999918079, 0.0003630230003182078, 0.00035219800020058756, 0.000374854000256164, 0.00036273499972594436, 0.0003600820000428939]",0.0003679505002764927,0.00036146824982097314,0.00037694200000260025
sobol,normal,5,256,gpu,0,6c44da5d3ec59cb7154e519b351da4f8b42b01babb17a684697103c347c7cfeb,0.9924487339999359,0.5544728039999427,"[0.00031111000043893, 0.00032195599987971946, 0.0003376310000930971, 0.00030901999980414985, 0.00033375099974364275, 0.0003544159999364638, 0.0003124570002910332, 0.0003076630000578007, 0.00032652200025040656, 0.0003134600001430954]",0.0003177080000114074,0.0003114467504019558,0.0003319437498703337
sobol,normal,5,256,cpu,1,6c44da5d3ec59cb7154e519b351da4f8b42b01babb17a684697103c347c7cfeb,0.9924487339999359,0.2367649929997242,"[0.0001634670002204075, 0.0001496439999755239, 0.00016798800015749293, 0.0001460330004192656, 0.0002213340003436315, 0.0001505270001871395, 0.00013521199980459642, 0.0001818470000216621, 0.00020107999989704695, 0.00018304400009583333]",0.00016572750018895022,0.0001498647500284278,0.00018274475007729052
sobol,normal,5,512,cpu,0,5591402db19305b326128ec88b7ad531b6758a9ebf5e51067eb0c24fd116e8f7,1.0060960069999965,0.23565845699977217,"[0.0002663710001797881, 0.0002824569996846549, 0.0002582930001153727, 0.0002451810000820842, 0.00021772300033262582, 0.0002441990000079386, 0.00025665400016805506, 0.0002449630001137848, 0.0002532660000724718, 0.00024830900019878754]",0.00025078750013562967,0.00024501750010585965,0.0002578832501285433
sobol,normal,5,512,gpu,1,5591402db19305b326128ec88b7ad531b6758a9ebf5e51067eb0c24fd116e8f7,1.0060960069999965,0.515595986000335,"[0.0003305169998384372, 0.0003362620000189054, 0.0003859969997392909, 0.00036846300008619437, 0.0004274100001566694, 0.00035838800022247597, 0.00035187000003134017, 0.00036342600014904747, 0.00034850500014727004, 0.00032500299994353554]",0.00035512900012690807,0.00033932275005099655,0.00036720375010190764
sobol,normal,5,2048,gpu,0,683021f3bc7c62ee26f6d32002e9a9dc94bfbdb8ca7b25ec368acff5b0d3ddcb,1.0480227749999358,0.7163252380000813,"[0.00040898599991123774, 0.00038688200038450304, 0.0004196790000605688, 0.000394452999898931, 0.0003813820003415458, 0.00038471099969683564, 0.00038389500014091027, 0.00039700900015304796, 0.0003797529998337268, 0.0003851050000776013]",0.00038599350023105217,0.0003840990000298916,0.0003963700000895187
sobol,normal,5,2048,cpu,1,683021f3bc7c62ee26f6d32002e9a9dc94bfbdb8ca7b25ec368acff5b0d3ddcb,1.0480227749999358,0.23224651199961954,"[0.0009104360001401801, 0.0008762850002312916, 0.0008623710000392748, 0.0008816999998089159, 0.0008942709996517806, 0.0008866970001690788, 0.0009487180000178341, 0.0009137189999819384, 0.0009334540000054403, 0.0009404410002389341]",0.0009023534998959803,0.0008829492498989566,0.0009285202499995648
